title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Aboriginal Relations,aboriginal-relations,ab/aboriginal-relations,Government - Departments ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"11th Floor, Commerce Place 10155 - 102 Street Edmonton, AB T5J 4G8 ",Gerry Kushlyk ,gerry.kushlyk@gov.ab.ca,,7/5/13,7/8/13
Aboriginal Tourism Advisory Council,aboriginal-tourism-advisory-council,ab/aboriginal-tourism-advisory-council,Government - Other ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"5th Floor Terrace Building 9515 - 107 Street Edmonton, AB T5K 2C3 ",Roger Mariner ,foip.fintprccs@gov.ab.ca,,7/5/13,7/8/13
Acadia Foundation,acadia-foundation,ab/acadia-foundation,Housing Management Body ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"PO Box 96 Oyen, AB T0J 2J0 ",Marguerite Wilson ,acadiafoundation@telus.net,,7/5/13,7/8/13
Access Advisory Council,access-advisory-council,ab/access-advisory-council,Government - Other ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"12th Floor, Centre West Building 10035 - 108 Street Edmonton, AB T5J 3E1 ",Barb Joyner ,barb.joyner@gov.ab.ca,,7/5/13,7/8/13
ACCM Benevolent Association,accm-benevolent-association,ab/accm-benevolent-association,Housing Management Body ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"Suite 100, 9403 - 95 Avenue Edmonton, AB T6C 4M7 ",Ruby Diewert ,accmmanor@shaw.ca,,7/5/13,7/8/13
Acme Municipal Library,acme-municipal-library,ab/acme-municipal-library,Public Library ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"PO Box 326 Acme, AB T0M 0A0 ",Colleen Herrera ,aamlibrary@marigold.ab.ca,,7/5/13,7/8/13
Aetna Irrigation District,aetna-irrigation-district,ab/aetna-irrigation-district,Irrigation District ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"PO Box 2159 Cardston, AB T0K 0K0 ",Ralph Price ,ralph.price@pricecomin.ca,,7/5/13,7/8/13
Agricultural Operation Practices Act Policy Advisory Group Committee,agricultural-operation-practices-act-policy-advisory-group-committee,ab/agricultural-operation-practices-act-policy-advisory-group-committee,Government - Other ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"204, J.G. O'Donoghue Building 7000 - 113 Street Edmonton, AB T6H 5T6 ",Audrey Albrecht-Lee ,audrey.albrecht-lee@gov.ab.ca,,7/5/13,7/8/13
Agriculture and Rural Development,agriculture-and-rural-development,ab/agriculture-and-rural-development,Government - Departments ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"204, J.G. O'Donoghue Building 7000 - 113 Street Edmonton, AB T6H 5T6 ",Audrey Albrecht-Lee ,audrey.albrecht-lee@gov.ab.ca,,7/5/13,7/8/13
Agriculture Financial Services Corporation,agriculture-financial-services-corporation,ab/agriculture-financial-services-corporation,Government - Other ,,,,,Alberta,ocd-division/country:ca/province:ab,Alberta Directory of Public Bodies,http://www.servicealberta.ca/foip/directory-of-public-bodies.cfm,"AFSC Building 4910 - 52 Street Camrose, AB T4V 4E8 ",Larry Langager ,larry.langager@afsc.ca,,7/5/13,7/8/13
